Standing screen display size,Screen Resolution,Max Screen Resolution,Brand,Item model number,Item Weight,Unit,Item Weight in Kg,Length(In),Width(In),Height(In),Item Dimensions  LxWxH,Color,Manufacturer,ASIN,Country of Origin,Date First Available,Price,Series,Is Discontinued By Manufacturer,Voltage,RAM,Processor Count,Computer Memory Type,Department,Customer Reviews,Power Source,Package Dimensions,Best Sellers Rank,Assembled Height,Assembled Length,Assembled Width,Style,Material,Number of Lights,Special Features,Shade Material,Switch Style,Switch Installation Type,Batteries Included?,Batteries Required?,Type of Bulb,Luminous Flux,Wattage,Processor,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Graphics Card Ram Size,Wireless Type,Hardware Platform,Operating System,Rear Webcam Resolution,Processor Brand,Flash Memory Size,Hard Drive Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Batteries,Material Type,Size,Manufacturer Part Number,Average Battery Life (in hours),Language,Number of Items,Other display features,Colour,Card Description,Hard Drive Rotational Speed,National Stock Number,Ink Color,Brand Name,Color Name,Device interface - primary,Included Components,Total Recycled Content Percentage,Post-Consumer Recycled Content Percentage,Part Number,Item Package Quantity,Battery Cell Type,Display Type,Warranty,Optical Drive Type,Scanner Resolution,Connectivity technologies,Domestic Shipping,International Shipping,Display Style,Usage,Warranty Description
24 Inches,1920 x 1080,1920X1080 Pixels,Sceptre,E248B-FPT168S,6.17,pounds,2.7765,21.21,15.75,5.95,21.21 x 15.75 x 5.95 inches,Black,Sceptre,B097QK6W46,China,22-Jun-21,$219.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920x1080 Pixels,Sceptre,E275B-FWD240,10.44,pounds,4.698,24.13,21.14,9.27,24.13 x 21.14 x 9.27 inches,Black,Sceptre,B0911MSYGW,China,24-Mar-21,$298.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920x1080,1920 x 1080 Pixels,Sceptre,E248W-19203R,5.77,pounds,2.5965,21.59,7.02,15.83,21.59 x 7.02 x 15.83 inches,Machine Black,Sceptre Inc.,B0773ZY26F,China,1-Nov-17,$139.97 ,E248W-19203R,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920x1080 Pixels,Sceptre,E249W-FPT,6.02,pounds,2.709,21.25,15.53,7.03,21.25 x 15.53 x 7.03 inches,Black,Sceptre,B092XF3W9T,China,19-Apr-21,$154.97 ,,,110 Volts (AC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Inches,1600x900,1600 x 900 Pixels,Sceptre,E209W-16003RT,4.29,pounds,1.9305,18.01,7.02,13.58,18.01 x 7.02 x 13.58 inches,Black,Sceptre,B078HMK7S3,China,19-Dec-17,$119.97 ,E209W-16003R,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,HP,24mh,9.94,pounds,4.473,23.54,8.33,18.28,23.54 x 8.33 x 18.28 inches,Jet Black,Hewlett Packard,B08BF4CZSV,,6-Sep-20,$219.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920 x 1080 Pixels,1920 x 1080 Pixels,Sceptre,E278W-FPT,7.12,pounds,3.204,24.12,17.12,7.03,24.12 x 17.12 x 7.03 inches,Black,Sceptre,B098YKNVWR,China,6-Jul-21,$179.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,,1920 x 1080 Pixels,HP,VH240A,9.9,pounds,4.455,8.6,21.2,19.7,8.6 x 21.2 x 19.7 inches,Black,Hewlett Packard,B072M34RQC,,9-Jul-17,$245.00 ,VH240a,No,,8 GB,2,DDR DRAM,Womens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.83,pounds,3.5235,17.24,11.42,0.67,,,Prechen,B0863881T1,,,$102.99 ,,,,,,,,19-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,2560 x 1440,2560 x 1440 Pixels,LG,27GN800-B,13.2,pounds,5.94,24.2,8.9,17.9,24.2 x 8.9 x 17.9 inches,Black,LG,B08LLD2QXJ,China,15-Oct-20,$296.99 ,27GN800-B,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
